Date/Time,Word Count,en,ko-KR
2024.07.31-16.17.45,258,0,258
2024.07.31-16.27.33,258,258,258
2024.07.31-17.23.47,262,258,262
2024.07.31-17.24.34,262,260,262
2024.07.31-17.25.04,262,262,262
